Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2026,7,July,3727536,3706318,5919465,6291713
2026,6,June,3256659,3401246,6110182,5725065
2026,5,May,3316204,3629936,5304210,4912150
2026,4,April,3246315,3205314,4467550,4848361
2026,3,March,3151867,3112448,4809827,4758148
2026,2,February,2759930,2915956,3580204,3607372
2026,1,January,3302474,3684093,3636245,4783497
2025,12,December,3762908,3909329,4975007,4123822
2025,11,November,2957058,3440279,3963700,3996191
2025,10,October,3496219,3656537,4254581,4554413
2025,9,September,3347413,3484803,4422883,4617373
2025,8,August,4225455,4371455,4960408,5906359
2025,7,July,3926728,3774408,5986264,6446770
2025,6,June,3295420,3484161,6215537,5684371
2025,5,May,3485807,3729777,5228193,4764221
2025,4,April,3614467,3350364,4461830,4711416
2025,3,March,3069957,3128765,4731468,4791646
2025,2,February,2780082,2857838,3461326,3497231
2025,1,January,3429461,3708053,3526504,4553318
2024,12,December,3783583,3885750,4748406,4040389
2024,11,November,3045426,3464152,3820379,3723570
2024,10,October,3582340,3672759,4007539,4401445
2024,9,September,3601553,3605138,4243297,4440890
2024,8,August,4262525,4222570,4741431,5628234
2024,7,July,4047965,3768608,5613966,6176541
2024,6,June,3476331,3465039,6178707,5588078
2024,5,May,3627736,3799548,5058287,4581135
2024,4,April,3495150,3344928,4117216,4511845
2024,3,March,3397281,3138189,4619864,4519781
2024,2,February,2923272,2921462,3394339,3370970
2024,1,January,3362679,3571509,3251263,4234327
2023,12,December,3663493,3691907,4372623,3640563
2023,11,November,2960038,3332033,3608463,3673531
2023,10,October,3488240,3589751,3724893,4272960
2023,9,September,3552477,3405210,4149886,4219838
2023,8,August,4114543,3966424,4299363,5208274
2023,7,July,3780615,3486185,5243930,5806163
2023,6,June,3158312,3080980,5637537,5023803
2023,5,May,3213894,3380744,4559872,4221772
2023,4,April,3216219,2987970,3916257,4108199
2023,3,March,2886968,2649305,4038159,4034851
2023,2,February,2402000,2379676,2911187,2945488
2023,1,January,2796190,2975213,2945179,3757785
2022,12,December,3046974,3108700,3836514,3177325
2022,11,November,2465059,2799679,3085967,3163846
2022,10,October,2944682,2962298,3141121,3500157
2022,9,September,2880811,2800660,3402942,3548223
2022,8,August,3351549,3281616,3555537,4472149
2022,7,July,3145311,2883876,4440843,4826686
2022,6,June,2601092,2621593,4557311,3988054
2022,5,May,2574163,2674680,3504210,3201410
2022,4,April,2567943,2406343,2831231,2887542
2022,3,March,1929710,1855403,2615912,2658587
2022,2,February,1492747,1444679,1727660,1708606
2022,1,January,1681418,1878251,1530934,2206768
2021,12,December,2117990,2223173,2410615,1984328
2021,11,November,1614423,1511859,1849931,1921285
2021,10,October,1169530,1177157,1679609,1831221
2021,9,September,1204515,1089684,1654036,1910375
2021,8,August,1570236,1318314,2091429,2723959
2021,7,July,1307427,1346962,2488811,2412601
2021,6,June,1119697,1221119,1913113,1690613
2021,5,May,952594,991308,1234280,1207370
2021,4,April,733854,694605,922255,1080981
2021,3,March,632491,588711,864210,860819
2021,2,February,441292,452301,534327,571373
2021,1,January,741343,627266,580615,971220
2020,12,December,611312,894251,917633,665675
2020,11,November,479860,573293,558361,564933
2020,10,October,418492,446512,461501,478642
2020,9,September,328176,361082,339908,383432
2020,8,August,328009,392332,348657,397583
2020,7,July,224446,384200,293181,298565
2020,6,June,118259,223893,74000,146057
2020,5,May,50258,156130,29372,76549
2020,4,April,30358,139548,14936,76998
2020,3,March,1317076,2005296,1182032,2126270
2020,2,February,3118162,3134847,2696548,2892970
2020,1,January,3897020,4066434,2933954,3777695
2019,12,December,4103330,4265699,3810804,3266494
2019,11,November,3498023,3800980,3091507,3134885
2019,10,October,4078487,4207097,3281436,3577274
2019,9,September,4183518,4176532,3474845,3685861
2019,8,August,4917928,5028795,3958217,4803868
2019,7,July,4707766,4351505,4763213,5260986
2019,6,June,4101203,4139784,5156624,4703620
2019,5,May,4184056,4372026,4225543,3913704
2019,4,April,4223786,3906663,3523417,3819440
2019,3,March,3633412,3643071,3915945,3971190
2019,2,February,3278647,3338894,2775463,2812284
2019,1,January,3879237,4044143,2886716,3697626
