Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar.radiation,Next_Tmax
28.7,21.4,58.25569,91.11636,28.0741,23.00694,6.818887,69.451805,0.233947471,0.20389571,0.161696854,0.130928198,0,0,0,0,37.6046,126.991,212.335,2.785,5992.896,29.1
31.9,21.6,52.2634,90.60472,29.85069,24.03501,5.69189,51.937448,0.225508198,0.251771373,0.159444059,0.127727264,0,0,0,0,37.6046,127.032,44.7624,0.5141,5869.312,30.5
31.6,23.3,48.69048,83.97359,30.09129,24.56563,6.138224,20.57305,0.209343664,0.257469446,0.204091465,0.14212525,0,0,0,0,37.5776,127.058,33.3068,0.2661,5863.556,31.1
32,23.4,58.23979,96.48369,29.70463,23.32618,5.65005,65.727144,0.216372027,0.226002422,0.16115741,0.134248676,0,0,0,0,37.645,127.022,45.716,2.5348,5856.965,31.7
31.4,21.9,56.1741,90.15513,29.11393,23.48648,5.735004,107.965535,0.151406899,0.249995278,0.178892475,0.170020995,0,0,0,0,37.5507,127.135,35.038,0.5055,5859.552,31.2
31.9,23.5,52.43713,85.30725,29.21934,23.82261,6.182295,50.231389,0.185278777,0.280817986,0.232840977,0.146362898,0,0,0,0,37.5102,127.042,54.6384,0.1457,5873.781,31.5
31.4,24.4,56.28719,81.01976,28.55186,24.23847,5.587135,125.110007,0.389600243,0.333569981,0.270418989,0.145705371,0,0,0,0,37.5776,126.838,12.37,0.0985,5849.233,30.9
32.1,23.6,52.32622,78.00454,28.85198,23.81905,6.104417,42.011547,0.357856423,0.344928144,0.272387332,0.143840614,0,0,0,0,37.4697,126.91,52.518,1.5629,5863.992,31.1
31.4,22,55.33879,80.78461,28.42698,23.33237,6.017135,85.110971,0.408765723,0.344800274,0.26497959,0.148911073,0,0,0,0,37.4967,126.826,50.9312,0.4125,5876.901,31.3
31.6,20.5,56.6512,86.84963,27.5767,22.52702,6.518841,63.006075,0.348292483,0.306254824,0.245254185,0.135443459,0,0,0,0,37.4562,126.955,208.507,5.1782,5893.608,30.5
31.7,23.5,51.15639,85.38564,29.69472,24.43265,6.411812,55.690312,0.175333607,0.281865702,0.211470522,0.162906996,0,0,0,0,37.5372,127.085,28.7,0.6233,5864.001,31.2
31.6,22.2,51.28835,80.33801,28.93631,24.36595,6.423993,28.719288,0.251017448,0.25629401,0.182101953,0.131399843,0,0,0,0,37.5507,126.988,132.118,0.5931,5924.329,32.6
32.1,23.8,48.76793,84.00816,29.92927,24.28175,5.988361,32.039448,0.183449507,0.271462449,0.22561654,0.166153553,0,0,0,0,37.5776,127.083,59.8324,2.6865,5861.027,31.4
31.3,23.8,50.74574,74.49881,29.49853,24.45943,6.319478,16.835611,0.357665275,0.323948845,0.241907531,0.150746298,0,0,0,0,37.4967,126.927,30.968,0.618,5857.95,31.7
32.5,23.6,51.77339,72.99924,29.6401,25.15291,6.360547,32.275122,0.301712876,0.302602134,0.191007179,0.145542468,0,0,0,0,37.5507,126.937,30.0464,0.8552,5866.656,30.8
30.7,21.4,56.84834,84.40817,28.47652,23.69515,5.639549,83.417605,0.277754578,0.287272772,0.246364056,0.134321159,0,0,0,0,37.4697,126.995,82.2912,2.2579,5861.383,30.8
32.1,20.1,54.3525,93.21832,29.32153,23.03616,5.497787,97.971438,0.151997618,0.2361992,0.195431031,0.149973047,0,0,0,0,37.6181,127.099,53.4712,0.697,5872.376,31.5
32.8,23.8,56.14471,88.36473,28.67617,23.44816,5.665435,81.938271,0.190920499,0.293773562,0.264063894,0.138920351,0,0,0,0,37.4832,127.024,56.4448,1.2313,5864.953,33.1
31.4,22.8,52.26593,75.48376,29.27367,24.97015,6.359286,36.339969,0.276464701,0.295129102,0.1885057,0.140354342,0,0,0,0,37.5776,126.938,75.0924,1.7678,5893.578,31.8
30.9,22.2,61.49384,95.24523,28.50299,23.03154,6.814792,70.166936,0.199887615,0.190157051,0.138435317,0.123160086,0,0,0,0,37.6181,127.004,146.554,4.7296,5932.124,30.8
32,23.6,49.57605,81.60167,29.9762,24.83711,6.413321,14.796121,0.200845365,0.253855393,0.207180081,0.148090805,0,0,0,0,37.5507,127.04,26.298,0.5721,5859.322,30.6
