V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
0.062418942,0.570427109,0.366529402,0.000624547,0,0.351704113,0.048892298,0.001586612,0,0,5.02E-01,0.183828945,0.015738851,0,0,0.001720381,0.447492573,0.524323492,0.026463554,0,0.082595851,0.661998938,0.255402157,3.05E-06,0,1.09E-01,0.53855099,0.351901495,0,0,0,0.131175908,0.619440511,0.248449297,0.000934284,0.17167501,0.634877086,0.192432255,0,0,0,0.228585678,0.685834249,0.085578649,1.42E-06,0,0,0,0,0,8.06E-05,0.33373866,0.610562847,0.055617926,0,0.040162741,0.70397313,0.252723888,0.003140242,0,0,0.171984975,0.56122706,0.254187568,0.012600397,3.28E-02,0.542054839,0.424170894,0.000940085,0,0.034400203,0.491594283,0.473564772,0.000440742,0,0.058721691,0.540292687,0.400924453,0,0,0.009192521,0.395416404,0.565284772,0.030106303,0,0.053840816,0.611257236,0.33488794,1.40E-05,0,1.78E-05,0.270389721,0.656204086,0.073388411,0,1.06E-05,0.228284347,0.652968871,0.118736133,0,1
0,0.013742422,0.217157309,0.548025334,2.21E-01,0,1.39E-01,0.659027046,0.201955159,0.000115969,0,1.13E-01,0.652324576,0.234487785,6.63E-05,0.032568038,0.599306865,0.366424677,0.001700419,0,0,0.163227242,0.562863819,0.259080437,0.014828502,0,0,0,0,1,0,0.015882344,0.25273823,0.561670217,0.16970921,0.017169458,0.543057386,0.433518734,0.006254422,0,0,0.121017479,0.626970508,0.243996484,0.008015529,0,0.215029544,0.649106919,0.135725262,0.000138275,0.004345077,0.44197034,0.536303373,0.01738121,0,0.050458828,0.712031979,0.235296715,0.002212478,0,0.124763843,0.668506642,0.206725575,0,0,0.033086457,0.542612799,0.423386481,0.000914263,0,0,0.054485528,0.484146575,0.424551916,0.036815981,0.034073699,0.503591055,0.462332563,2.68E-06,0,0,0.046939078,0.416098417,0.484244478,0.052718027,0.1480022,0.63137612,0.219146993,0,0,0,0.004808282,0.123497633,0.480540419,0.391153666,0,0.038454244,0.382603748,0.498570284,0.080371723,1
0,0.203484025,0.635785566,0.160705476,2.49E-05,0.123469339,0.565297977,0.310619982,0,0,0.189370353,0.553587125,0.252642185,0,0,0.016362521,0.556178183,0.421821442,0.005637855,0,0.073370281,0.658770467,0.2678356,2.37E-05,0,0,0.0517216,0.510737284,0.423894741,0.013646374,0.072607138,0.554708687,0.372602297,8.19E-05,0,0.124591615,0.643120181,0.2322121,0,0,0.037505828,0.52594423,0.436549927,0,0,0.196174031,0.597655405,0.202141873,0,0,0.000525166,0.367153287,0.591832158,0.040489389,0,0.334516277,0.595171092,0.066498713,0,0,0.027920454,0.6128228,0.356044571,0.003212175,0,0,0.161898657,0.625189015,0.209776454,0.003135875,0.005696619,0.356622784,0.617377002,0.020303595,0,0.0227504,0.473673023,0.503242853,0.000333724,0,0,0.101455676,0.560176685,0.331305416,0.007062223,0.004901479,0.470799918,0.512228157,0.012070445,0,0.002895582,0.379251764,0.595410422,0.022442232,0,0.228442309,0.579208312,0.18721031,0.00E+00,0,-1
3.69E-05,0.251336836,0.636660801,0.111965421,0,0,0.000436998,0.031647939,3.30E-01,0.637424792,0,3.69E-05,0.00691327,0.178470419,0.81457937,0.002947461,0.467665133,0.508154077,0.021233329,0,0.007426527,0.537686735,0.444677269,1.02E-02,0,0.000731051,0.199514922,0.696208353,1.04E-01,0,0.024874714,0.463432502,0.50410542,0.007587364,0,0,0.123559796,0.542828527,0.312874955,0.020736722,0.00676428,0.411361403,0.575670247,0.006204071,0,0.000153234,0.299242025,0.635344659,0.065260082,0,0,0.037838658,0.352255264,0.487301494,0.122604583,0,0.204715748,0.523769276,0.254320481,0.017194496,0.00E+00,0.372490448,0.561998335,0.065510836,3.81E-07,0.006475954,0.431764326,0.546862551,0.014897169,0,0,0.06949973,0.533470721,0.375942757,0.021086792,0.006812077,0.390770394,0.594802285,0.007615244,0,9.32E-05,0.232067707,0.643517261,0.124321812,0,0,0.159070089,0.596175457,0.235296618,0.009457836,0.035567473,0.537427145,0.426749946,0.000255436,0,0.193004468,0.590145257,0.214429743,0,0,1
0.004816882,0.382057918,0.575852314,0.037272886,0,0.023425971,0.443703693,0.528996089,0.003874247,0,0.010657908,0.349283295,0.622232516,0.017826281,0,0.001618052,0.445407302,0.525928572,0.027046074,0,0.333963942,0.552948793,0.091797201,0,0,0.000422964,0.184456424,0.695843747,0.119276865,0,0.127226427,0.583051511,0.289603699,0,0,0.133187889,0.642550367,0.224107315,0,0,6.58E-09,0.238043413,0.684705641,0.077250939,0,0,0.171486362,0.633228845,0.193530582,0.00175421,3.38E-04,0.357229127,0.597823959,0.044608957,0,0.312102342,0.613001005,0.07264909,0,0,0.208488773,0.641405405,0.148434135,0,0,0.242971836,0.580443183,0.167040896,0,0,0.041628671,0.50719823,0.451066175,1.07E-04,0,0.108116163,0.570254253,0.320347972,0,0,0,0.030748396,0.34127971,0.532425847,0.095546047,0,0.141940531,0.580273488,0.263812307,0.013973675,0.010197191,0.448621851,0.533780549,0.00740041,0,0.20253083,0.587681126,0.206757126,0,0,1
0,0.005667278,0.131185363,0.511647257,0.351500102,0,0.106947471,0.620563705,0.270384286,0.002104537,0.000838095,0.215046708,0.694271336,0.089843861,0,0,0.04714688,0.365891946,0.472432662,0.114528512,0.04511124,0.637998393,0.3163497,0.000540667,0,0.075874114,0.515262792,0.408856416,0,0,0.271333341,0.554015851,0.165208536,0,0,0.273145091,0.587421899,0.130098888,0,0,0,0.026730193,0.338119387,0.497369648,0.137780772,0,0.197223039,0.64494888,0.157341672,0.000486409,0.001648809,0.4011821,0.568772264,0.028396827,0,0.296142982,0.625129344,0.077289894,0,0,0,0.324820268,0.580661515,0.094381265,0.000136952,0,0.073716533,0.492325468,0.393503617,0.040454382,0.022247059,0.455377084,0.51991006,0.002465796,0,0.327886352,0.503361485,0.128588905,0,0,0.270963518,0.562608285,0.15965125,0,0,0.013668613,0.527187946,0.454971934,0.004171506,0,0.01421961,0.470975102,0.510308963,0.004496326,0,0.01224432,0.430950022,0.541415492,0.015390165,0,-1
0.357312707,0.513024773,0.106297992,0,0,0,0.160107811,0.673589192,0.166302979,1.82E-08,0,0.062055633,0.542293305,0.385780394,0.009870667,0,0.12601115,0.538099061,0.312454563,0.023435227,0,0.354377056,0.57673062,0.068879748,1.26E-05,0.00515671,0.287644762,0.666207847,0.040990682,0,0.025699185,0.466290749,0.500865369,0.007144697,0,0,0.08373591,0.475101096,0.39335155,0.047811443,0,0.225626198,0.686024505,8.83E-02,3.75E-06,0,0.158562203,0.624427886,0.21406879,2.94E-03,0,0.164152452,0.607555182,0.222529224,0.005763142,0,0.079269833,0.391287247,0.432580766,0.096862155,0.00E+00,0.108409969,0.493042635,0.358509925,0.040037472,0,0.242627271,0.649369236,0.107991112,1.24E-05,0,0.088486484,0.581216929,0.320275382,0.010021206,0,0.211363949,0.694809369,0.093826682,8.09E-12,0.189515443,0.591311814,0.218163608,0,0,0,0.078374335,0.477069643,0.390884393,0.053671629,0.003519594,0.388392047,0.58822359,0.019864769,0,0,0.024325181,0.305549141,0.53588486,0.134240818,1
0.430961034,0.445302188,0.072465166,0,0,0.117220629,0.563614289,0.318707472,0,0,0.123398328,0.548501229,0.327409577,0,0,0,0.082355829,0.464592004,0.397952354,0.055099813,0,0.318590298,0.589556895,0.091664605,0.000188202,0.139538197,0.548392372,0.310931133,0,0,0.255111651,0.561428286,0.17611646,0,0,0,0.071900958,0.447395484,0.419308709,0.061394849,0.145501877,0.584795638,0.266027805,0,0,0.274883533,0.5626591,0.148377553,0,0,0,0.14040573,0.586392835,0.262416,0.010785435,0,0.062269026,0.353123719,0.458811467,0.125795788,0,0.228248887,0.586073434,0.181823676,0.003854003,0,0.000273959,0.020082766,0.254820888,0.724822386,0,0.073785667,0.545506266,0.362786962,0.017921104,0,0.133684196,0.656581472,0.206884002,0.00285033,0.000963698,0.283415025,0.631655573,0.083965704,0,0.00E+00,0.124947126,0.560339536,0.294488612,0.020224727,0.106380319,0.596762861,0.296419252,0.00E+00,0,0.071759313,0.570285762,0.357918175,3.68E-05,0,-1
0.249301726,0.579454938,0.166234387,0,0,2.08E-01,0.563098167,0.223494346,0,0,0.138812283,0.552262268,0.307697766,0,0,0.525655057,0.233202495,0.015428705,0,0.00E+00,0.468207984,0.110024621,0.003907489,0,0,0.446123886,0.391509119,0.073494505,0,0,0.063080854,0.54411785,0.3925036,0.000297697,0,0.27298089,0.58752396,0.130183863,0,0,0.33479693,0.501812898,0.119968159,0,0,0.259592505,0.571075672,0.157837224,0,0,5.07E-01,0.184305239,0.011559288,0,0,0.577862091,0.226826904,0.008713625,0,0,0,0.086317447,0.45394918,0.40031086,0.059422513,0,0.150648045,0.616133653,0.22859254,0.004625762,3.92E-01,0.454992797,0.095342936,0,0,0,0.127817508,0.649861436,0.218631105,0.00368995,0.504601704,0.343054036,0.042322801,0,0,0.100108828,6.33E-01,0.266727873,0,0,0.109562651,0.597454179,0.292470391,0,0,0.285519379,0.552442976,0.149493884,0,0,-1
0.006479534,0.399304608,0.56299139,0.031224468,0,0,0.070114089,0.541162324,0.374443787,0.0142798,0,0.082638217,0.598849166,0.316007429,0.002505187,0.003648414,0.476638173,0.500583128,0.019130284,0,0.511319724,0.168657464,0.008100506,0,0.00E+00,0,0.04331927,0.474609939,0.459492925,0.022577867,0,0.17609169,0.651159771,0.172748435,1.04E-07,0.001068216,0.411689446,0.551671479,0.035570859,0,0,0.047627058,0.444944947,0.436556092,0.070871903,0,0.210101092,0.648252157,0.14144125,0.000205501,0.227013049,0.599038013,0.167050691,0,0,0.346111225,0.585573367,0.06346561,0,0,0,0.079107819,0.43872022,0.414404536,0.067767425,0.201978024,0.597267633,0.195918366,0,0,0.383623718,0.462590323,0.099762028,0,0,0,0,0,0,1,0.383277048,0.488526157,0.098396017,0,0,0.220595205,0.606803137,0.16539335,0,0,0,0.061076616,0.470319689,0.416652376,0.051951319,0.001263468,0.309742546,0.629106946,0.059887041,0,-1
